id,nome,status,preco_original
328359,TOP NADADOR POLIAMIDA REF 081,disponivel,17.0
4414230,COLETE CORTA VENTO COM BOLSO,disponivel,40.0
4323187,CALÇA FLARE 001,disponivel,60.0
4267810,CASACO POLIAMIDA COM ZIPER,disponivel,55.0
4376846,CONJ GG DE CALÇA CANELADA,disponivel,70.0
4376841,CONJ DE CALÇA CANELADA,disponivel,67.0
4371813,REGATA MACHÃO,disponivel,25.0
4337639,CONJUNTO CECILIA CALÇA,disponivel,75.0
4337633,CONJUNTO CECILIA SHORT,disponivel,70.0
4324179,SHORT MASCULINO,disponivel,55.0
4323904,CASACO PREMIUM COM BOLSO,disponivel,55.0
4298763,SHORT SAIA PREMIUM,disponivel,42.0
4275987,SHORT DUPLO PREMIUM,disponivel,40.0
327294,LEGGING CINTURA ALTA POLIAMIDA REF 334,disponivel,32.0
3793662,CORTA VENTO,disponivel,45.0
3146488,MACAQUITO CANELADO DE BOLSO,disponivel,60.0
331423,REGATA CURTA POLIAMIDA DRYFIT REF 120,disponivel,18.0
334025,LEGGING DETALHE LATERAL POLIAMIDA REF 322,disponivel,34.0
4059477,CONJUNTO CANELADO GG DE CALÇA,disponivel,70.0
333277,TOP 3D DE ALÇA REF 350,disponivel,22.0
875534,SHORT CURTO POLIAMIDA REF 366,disponivel,22.0
875523,TOP FRANZIDO POLIAMIDA REF 374,disponivel,22.0
332873,MACAQUITO LISO POLIAMIDA REF 314,disponivel,38.0
332840,MACACÃO LISO POLIAMIDA REF 315,disponivel,47.0
331427,REGATÃO POLIAMIDA DRYFIT REF 050,disponivel,18.0
327777,TOP NADADOR 3D REF 091,disponivel,20.0
3592535,CASACO DEBORAH,disponivel,40.0
3553045,SHORT CICLISTA 3D GG,disponivel,30.0
3480272,BLUSA MASCULINA,disponivel,30.0
3480266,MACACÃO LONGO CANELADO,disponivel,65.0
3480260,SHORT 3D COM BOLSO,disponivel,30.0
3340284,LEGGING DE BOLSO CANELADA GG,disponivel,45.0
3184623,CASACO COM ZIPER,disponivel,37.0
3145402,BLUSA DE TULE,disponivel,20.0
3145398,LEGGING CANELADA DE BOLSO,disponivel,42.0
3133783,LEGGING 3D GG,disponivel,40.0
3118780,SHORT CICLISTA GG,disponivel,30.0
3118770,LEGGING DE BOLSO GG POLIAMIDA REF 373,disponivel,40.0
3117802,CASACO COM ZIPER,disponivel,37.0
2673571,CONJUNTO CANELADO DE SHORT REF 386,disponivel,57.0
2673557,CONJUNTO CANELADO DE CALÇA REF 388,disponivel,67.0
875488,SHORT CICLISTA 3D REF 368,disponivel,22.0
334031,SHORT CADARÇO POLIAMIDA REF 357,disponivel,22.0
333290,TOP POLIAMIDA DE ALÇA REF 352,disponivel,20.0
333275,SHORT CURTO 3D LISO REF 355,disponivel,22.0
331394,BABY LOOK DRYFIT POLIAMIDA REF 085,disponivel,24.0
3552750,TOP ALÇA LARGA,disponivel,22.0
3552730,REGATA COLADA POLIAMIDA,disponivel,20.0
327396,SHORT CICLISTA POLIAMIDA REF 335,disponivel,20.0
3117884,CONJUNTO DE SHORT DUPLO,disponivel,65.0
334077,CONJUNTO GAIN REF 352023,disponivel,52.0
334059,CONJUNTO 3D MASTER REF 350355,disponivel,40.0
3254120,MACAQUITO CANELADO CORTE LATERAL,disponivel,70.0
3667508,CROPPED DE TULE REF 397,disponivel,15.0
331422,BLUSA CORTE LATERAL POLIAMIDA DRYFIT REF 340,disponivel,26.0
3184620,CONJUNTO DE SHORT DUPLO,disponivel,65.0
334036,CONJUNTO SPORT REF 342357,disponivel,40.0
3390015,CONJUNTO MALU,disponivel,70.0
3389992,MACACÃO ALÇA POLIAMIDA,disponivel,70.0
2488494,LEGGING DE BOLSO POLIAMIDA REF 373,disponivel,36.0
3338686,SHORT DUPLO,disponivel,40.0
3336920,CONJUNTO ZOE CANELADO,disponivel,75.0
3184622,MACAQUITO DE ALÇA,disponivel,65.0
3184612,MACACÃO DE ALÇA,disponivel,75.0
3117842,MACACÃO CANELADO,disponivel,75.0
3117836,MACAQUITO,disponivel,65.0
3043182,SHORT CANELADO DE BOLSO,disponivel,30.0
3133821,BABY LOOK PLUS SIZE,disponivel,30.0
365104,SHORT DE BOLSO REF 360,disponivel,26.0
327731,TOP CRUZADO POLIAMIDA REF 342,disponivel,22.0
3118777,LEGGING LISA GG,disponivel,40.0
3118772,SHORT DE BOLSO GG REF 360,disponivel,30.0
332904,LEGGING LISA CADARÇO POLIAMIDA REF 023,disponivel,34.0
331455,TOP NADADOR SUPLEX REF 02,disponivel,12.0
875515,LEGGING EMPINA BUMBUM POLIAMIDA REF 370,disponivel,34.0
875537,SHORT SEM COSTURA REF 376,disponivel,22.0
334028,SAIA LISA POLIAMIDA REF 046,disponivel,12.0
327770,LEGGING 3D REF 067,disponivel,35.0
334090,CONJUNTO PRO REF 342023,disponivel,55.0
331487,REGATA LONGA POLIESTER REF 099,disponivel,12.0
331480,BABY LOOK POLIÉSTER REF 307,disponivel,14.0
331414,REGATA LONGA DRYFIT POLIAMIDA REF 095,disponivel,20.0
327794,BLUSA DE NÓ POLIAMIDA REF 328,disponivel,15.0
326653,CROPPED POLIAMIDA DRYFIT REF 080,disponivel,15.0
4122908,SHORT CURTO POLIAMIDA REF 366 GG,esgotado,27.0
4122911,SHORT CURTO POLIAMIDA REF 366,esgotado,27.0
