id,nome,status,preco_original
4418318,KIT 5 shorts DUPLO tactel (APENAS SHORT),disponivel,100.0
3501601,Pacote com 5 Conjuntos de Calça Suplex Plus Ref Viés 10,disponivel,175.0
3347550,Pacote com 5 Conjuntos Short 07 Suplex,disponivel,145.0
3347497,Pacote com 5 Conjuntos de Calça Suplex Plus 07,disponivel,175.0
2816748,Pacote com 5 Conjuntos de Calça Plus Size Ref 04,disponivel,175.0
2816743,Pacote com 5 Conjuntos de Short 04 Suplex PLUS SIZE,disponivel,165.0
2816726,Pacote com 5 Conjuntos de Short Bolso 03 Plus,disponivel,140.0
2107286,Pacote com 5 Conjuntos de Calça Viés 09,disponivel,130.0
2049296,Pacote com 5 Conjuntos de Short Plus Viés 07,disponivel,140.0
853903,Pacote com 5 conjuntos plus short bolso 02,disponivel,145.0
684178,PACOTE COM 5 MACACÃO PLUS 01,disponivel,150.0
684175,PACOTE COM 5 MACACÃO PLUS 02,disponivel,150.0
318149,Pacote com 5 Conjuntos Midi Short Bolso,disponivel,145.0
318147,Pacote Com 5 Conjuntos Midi Calça Bolso,disponivel,165.0
318124,Pacote Com 5 Conjuntos de Calça Bolso Plus,disponivel,175.0
3703560,Kit com 5 Conjuntos Fitness em Suplex – Linha Slim (Ref.) 21,disponivel,100.0
3745068,Pacote com 5 Conjuntos – Short Duplo em Suplex 04,disponivel,130.0
3745064,Pacote com 5 Conjuntos – Short Duplo em Suplex 05,disponivel,130.0
3745047,Pacote com 5 Conjuntos – Short Duplo em Suplex 06,disponivel,155.0
3249148,Pacote com 5 Conjuntos de Short Duplo Suplex,disponivel,155.0
2632923,Pacote com 5 Conjuntos de Short Ref 57,disponivel,125.0
3311193,Pacote com 5 Casacos Corta Vento Em Tactel,disponivel,100.0
684191,PACOTE COM 5 MACAQUINHOS CURTO REF 06,disponivel,100.0
3769198,Pacote com 5 Conjuntos Short Duplo em Poliamida com Proteção UV REF 06,disponivel,275.0
3018361,Pacote com 5 conjuntos em poliamida Ref 62 Grmt 320,disponivel,321.3
2960573,Pacote com 10 Regatas M,disponivel,95.0
2851134,Pacote com 5 Conjuntos de Short Ref 08 Jcquard Grmt 360,disponivel,230.0
2774063,PACOTE COM 10 REGATAS MASC DRYFIT SORTIDAS,disponivel,125.0
2576248,Pacote com 5 Conjuntos de Calça Ref 11 Poliamida Gramatura 320,disponivel,220.0
2107380,"Pacote com 10 Blusas Masc DryFit Lisa P,M,G,GG",disponivel,130.0
2107347,Pacote com 5 Conjuntos de Calça Ref 45,disponivel,150.0
1902473,Pacote com 5 Casacos Cropped Poliamida Premium,disponivel,150.0
1902472,Pacote com 5 Casacos Longos Poliamida Premium,disponivel,150.0
1548837,PACOTE COM 5 CONJUNTOS DE CALÇA 44 POLIAMIDA CANELADO,disponivel,350.0
570243,PACOTE COM 5 COLETES PLUS SIZE Gg POLIAMIDA FURADINHO,disponivel,130.0
570240,PACOTE COM 5 CASAQUINHOS LONGO PLUS SIZE- Gg,disponivel,125.0
352718,PACOTE COM 10 BLUSAS COM MANGA G POLIAMIDA,disponivel,205.0
352707,PACOTE COM 5 CONJUNTOS DE CALÇA POLIAMIDA MODELO 03 Canelado,disponivel,350.0
2141881,PACOTE COM 5 MACAQUINHOS POLIAMIDA CANELADO COM REGULAGEM,disponivel,330.0
317955,Pacote Com 10 Regatas Gg,disponivel,95.0
4364027,Pacote com 5 Macaquinho Ref 01 Em Suplex,disponivel,125.0
4364023,Conjunto de Calça em Suplex Ref 71,disponivel,150.0
2632810,Pacote com 5 Conjuntos de Calça Ref 51 Suplex,disponivel,155.0
